sub_area,taxon,rcp,time_period,per_chg_mean,per_chg_sd
1,600024,rcp26,AA_med,30.15320329210867,48.15897338385585
1,600024,rcp26,AAA_end,47.056657672786294,54.91311753648312
1,600024,rcp85,AA_med,24.82997015868062,60.34109943048546
1,600024,rcp85,AAA_end,88.63196055690572,44.49119615375744
1,600030,rcp26,AA_med,0,0
1,600030,rcp26,AAA_end,0,0
1,600030,rcp85,AA_med,0,0
1,600030,rcp85,AAA_end,0,0
1,600066,rcp26,AA_med,0,0
1,600066,rcp26,AAA_end,0,0
1,600066,rcp85,AA_med,0,0
1,600066,rcp85,AAA_end,0,0
1,600069,rcp26,AA_med,43.34143374499992,48.13818722027304
1,600069,rcp26,AAA_end,69.05969312271769,59.69251893839142
1,600069,rcp85,AA_med,24.71612671938094,32.5173906579869
1,600069,rcp85,AAA_end,87.75974121702299,39.46801941521745
1,600118,rcp26,AA_med,76.34326685602048,48.68278636638514
1,600118,rcp26,AAA_end,113.097870676375,53.22351070466946
1,600118,rcp85,AA_med,64.23194924834523,49.23825073644906
1,600118,rcp85,AAA_end,150.0220284272396,24.472501643629904
1,600525,rcp26,AA_med,0,0
1,600525,rcp26,AAA_end,0,0
1,600525,rcp85,AA_med,0,0
1,600525,rcp85,AAA_end,0,0
1,601278,rcp26,AA_med,0,0
1,601278,rcp26,AAA_end,0,0
1,601278,rcp85,AA_med,0,0
1,601278,rcp85,AAA_end,0,0
1,601342,rcp26,AA_med,-0.8261617690118378,12.303907410693077
1,601342,rcp26,AAA_end,13.79082855629533,23.965057516226945
1,601342,rcp85,AA_med,-0.9450560723503582,16.151188204329834
1,601342,rcp85,AAA_end,38.6372300780546,31.392879420711473
1,601381,rcp26,AA_med,43.845347406173794,34.80377808999463
1,601381,rcp26,AAA_end,133.1441936518659,54.281585971794286
1,601381,rcp85,AA_med,34.142900962553696,42.019422392657624
1,601381,rcp85,AAA_end,147.55458553089517,65.2971242707554
2,600024,rcp26,AA_med,10.36407550721361,7.904129750055294
2,600024,rcp26,AAA_end,12.15280451157492,18.351153518026944
2,600024,rcp85,AA_med,7.7496071971413825,9.449946995121564
2,600024,rcp85,AAA_end,17.469258691556888,24.91505421761168
2,600030,rcp26,AA_med,15.83628689975784,30.332389230387527
2,600030,rcp26,AAA_end,-14.829405025769121,30.996850456842648
2,600030,rcp85,AA_med,14.208311288548387,37.478701084987776
2,600030,rcp85,AAA_end,19.775301986253183,32.53008087661248
2,600066,rcp26,AA_med,30.89566418631557,14.760111041790232
2,600066,rcp26,AAA_end,21.176842837887083,27.097821086255475
2,600066,rcp85,AA_med,25.135670010735286,17.989390272319856
2,600066,rcp85,AAA_end,81.28722236021959,67.17714394084483
2,600069,rcp26,AA_med,7.428732541633088,11.335443048608454
2,600069,rcp26,AAA_end,5.57694714320708,14.129881913794286
2,600069,rcp85,AA_med,-0.20112109371493075,5.044581273901635
2,600069,rcp85,AAA_end,-9.719964752127577,15.787785449766778
2,600118,rcp26,AA_med,13.172972343458131,9.389322280621585
2,600118,rcp26,AAA_end,9.109934263250041,15.44484023530356
2,600118,rcp85,AA_med,10.245907056848408,9.8875866785274
2,600118,rcp85,AAA_end,14.507170217419658,23.567823153584612
2,600525,rcp26,AA_med,26.629536011274613,20.47447221408102
2,600525,rcp26,AAA_end,12.261336266516286,31.36480445185008
2,600525,rcp85,AA_med,26.225925654864174,26.050657721143377
2,600525,rcp85,AAA_end,38.62635354340816,53.3357933737074
2,601278,rcp26,AA_med,0,0
2,601278,rcp26,AAA_end,0,0
2,601278,rcp85,AA_med,0,0
2,601278,rcp85,AAA_end,0,0
2,601342,rcp26,AA_med,4.20811073689659,7.404977420514818
2,601342,rcp26,AAA_end,17.77133170138993,20.234800053842694
2,601342,rcp85,AA_med,1.2339910436554347,6.939537496189442
2,601342,rcp85,AAA_end,32.37565599829594,17.71293688860569
2,601381,rcp26,AA_med,-15.591021717932458,8.24244018647528
2,601381,rcp26,AAA_end,-28.427739143123368,35.204190065609204
2,601381,rcp85,AA_med,-14.133946255133734,8.03214694398685
2,601381,rcp85,AAA_end,-38.085895590153775,49.97953322807377
3,600024,rcp26,AA_med,15.022451496749635,11.933169490217054
3,600024,rcp26,AAA_end,12.091273961262038,20.948910549752153
3,600024,rcp85,AA_med,15.110517342347164,15.47636875799659
3,600024,rcp85,AAA_end,-2.594517287080776,32.181055399109624
3,600030,rcp26,AA_med,31.50999819957388,45.68260481619098
3,600030,rcp26,AAA_end,23.153318910915768,51.77239498953906
3,600030,rcp85,AA_med,19.77523673899359,44.21877361954094
3,600030,rcp85,AAA_end,29.533854235451336,66.03970570803926
3,600066,rcp26,AA_med,29.848136141088922,15.874059192734832
3,600066,rcp26,AAA_end,36.55547715637052,26.776844807832006
3,600066,rcp85,AA_med,30.76390629768318,23.669258013164526
3,600066,rcp85,AAA_end,66.83655364736853,46.313299170036615
3,600069,rcp26,AA_med,-5.438186681876454,12.309948820942113
3,600069,rcp26,AAA_end,-18.51972674596823,41.54219499277567
3,600069,rcp85,AA_med,-3.419062396361805,15.23811557398544
3,600069,rcp85,AAA_end,-55.43886272262161,58.61634637186932
3,600118,rcp26,AA_med,14.297935918558897,12.845301138210134
3,600118,rcp26,AAA_end,11.507834096557477,18.730445705141342
3,600118,rcp85,AA_med,13.005830040298274,13.695154619661936
3,600118,rcp85,AAA_end,8.938026045313029,36.058823218549854
3,600525,rcp26,AA_med,32.49887765668301,13.23665048121777
3,600525,rcp26,AAA_end,40.36509018530409,25.84608853749141
3,600525,rcp85,AA_med,35.59468424422708,23.39860835243802
3,600525,rcp85,AAA_end,73.20287555336412,37.97766684356642
3,601278,rcp26,AA_med,0,0
3,601278,rcp26,AAA_end,0,0
3,601278,rcp85,AA_med,0,0
3,601278,rcp85,AAA_end,0,0
3,601342,rcp26,AA_med,5.709436669206804,6.29760248039094
3,601342,rcp26,AAA_end,2.9703081498308124,22.804774683112242
3,601342,rcp85,AA_med,6.168576203106013,9.233044947781591
3,601342,rcp85,AAA_end,-11.219507926618308,42.858435655361
3,601381,rcp26,AA_med,-4.9357831655546,18.669782339994267
3,601381,rcp26,AAA_end,-31.314650426544496,45.66774814745789
3,601381,rcp85,AA_med,-1.6358577814317066,21.245383325246
3,601381,rcp85,AAA_end,-47.40583709600022,72.98824410429437
4,600024,rcp26,AA_med,-16.13738198962727,14.836308568153559
4,600024,rcp26,AAA_end,-43.179237696512445,40.72898865716351
4,600024,rcp85,AA_med,-14.436687763941515,10.86822669436238
4,600024,rcp85,AAA_end,-72.53164895832457,26.689387318633568
4,600030,rcp26,AA_med,-12.000191848535694,27.65464034191767
4,600030,rcp26,AAA_end,-37.12139884724472,32.29566171526397
4,600030,rcp85,AA_med,-13.6595553235941,26.57210777589867
4,600030,rcp85,AAA_end,-22.75812655026115,24.679943177139133
4,600066,rcp26,AA_med,5.562773442109021,11.810765126703032
4,600066,rcp26,AAA_end,-16.48846861266975,39.31097097701355
4,600066,rcp85,AA_med,3.854853485879997,18.937028275573155
4,600066,rcp85,AAA_end,-1.3586584955101748,50.54329420678123
4,600069,rcp26,AA_med,-31.65545701734594,19.861235281812867
4,600069,rcp26,AAA_end,-61.301676737983165,47.63525325925633
4,600069,rcp85,AA_med,-30.28518762564097,18.348044020033385
4,600069,rcp85,AAA_end,-105.31056751756448,39.94623027699975
4,600118,rcp26,AA_med,-12.773012246912044,14.609201644793494
4,600118,rcp26,AAA_end,-38.96180763493135,39.45606260111556
4,600118,rcp85,AA_med,-10.785175790510879,13.29836123097113
4,600118,rcp85,AAA_end,-50.275786360713404,35.97273812286977
4,600525,rcp26,AA_med,2.816777328692304,18.917017920873022
4,600525,rcp26,AAA_end,-24.322099034720964,47.89415488098355
4,600525,rcp85,AA_med,2.061038165092059,21.14562501570645
4,600525,rcp85,AAA_end,-19.114317382621184,55.17608241668611
4,601278,rcp26,AA_med,0,0
4,601278,rcp26,AAA_end,0,0
4,601278,rcp85,AA_med,0,0
4,601278,rcp85,AAA_end,20,44.721359549995796
4,601342,rcp26,AA_med,-7.65730248022509,12.013279687499768
4,601342,rcp26,AAA_end,-36.69227177943724,43.73194960932764
4,601342,rcp85,AA_med,-8.56653697042791,12.43587867855594
4,601342,rcp85,AAA_end,-48.448004485211854,49.47100523144182
4,601381,rcp26,AA_med,-13.889795245958627,11.003149946602198
4,601381,rcp26,AAA_end,-40.67478481911398,40.76780003590423
4,601381,rcp85,AA_med,-14.99752960022532,11.533217421587294
4,601381,rcp85,AAA_end,-54.30217481247297,48.0461976977135
5,600024,rcp26,AA_med,4.183127625574862,6.693047596017121
5,600024,rcp26,AAA_end,-6.604131667048829,9.092654983634535
5,600024,rcp85,AA_med,4.606628533694818,14.820374062257722
5,600024,rcp85,AAA_end,-7.797997132905266,15.527108464772311
5,600030,rcp26,AA_med,-5.312391379245817,22.700804080036093
5,600030,rcp26,AAA_end,-32.500994598145425,39.87698559290659
5,600030,rcp85,AA_med,-8.88114535704682,30.925915087785096
5,600030,rcp85,AAA_end,-12.110729967331148,44.6880282345937
5,600066,rcp26,AA_med,25.132987133152668,19.885096324036205
5,600066,rcp26,AAA_end,6.428089228451245,30.61853292843294
5,600066,rcp85,AA_med,18.639241813721053,14.777028440261084
5,600066,rcp85,AAA_end,24.462615842765857,35.35200126550118
5,600069,rcp26,AA_med,-4.347839188353967,6.084201650201025
5,600069,rcp26,AAA_end,-21.673907286882685,21.091624428042774
5,600069,rcp85,AA_med,-6.897399850245677,7.964494351981271
5,600069,rcp85,AAA_end,-37.82951665389299,26.398828769097793
5,600118,rcp26,AA_med,11.724888740445579,8.249703982401101
5,600118,rcp26,AAA_end,0.40935268285732607,13.351449282474166
5,600118,rcp85,AA_med,16.635577179561043,26.128307197768635
5,600118,rcp85,AAA_end,19.85042573558351,35.64152584296078
5,600525,rcp26,AA_med,36.4162679235549,38.343962539990564
5,600525,rcp26,AAA_end,14.788941793172755,24.73695648041214
5,600525,rcp85,AA_med,34.82783268085271,33.67290300736527
5,600525,rcp85,AAA_end,41.36925918508117,32.03386356057352
5,601278,rcp26,AA_med,0,0
5,601278,rcp26,AAA_end,0,0
5,601278,rcp85,AA_med,0,0
5,601278,rcp85,AAA_end,40,54.772255750516614
5,601342,rcp26,AA_med,4.9270499353691495,9.661851143583432
5,601342,rcp26,AAA_end,-2.838449871693648,11.939746020347972
5,601342,rcp85,AA_med,2.9266584133349554,9.564148637138352
5,601342,rcp85,AAA_end,3.3183770978123537,13.728883776328406
5,601381,rcp26,AA_med,-7.226314116271373,7.132870462205046
5,601381,rcp26,AAA_end,-25.13794949399542,11.289604791075325
5,601381,rcp85,AA_med,-8.629053967763609,9.037785749644582
5,601381,rcp85,AAA_end,-23.702650052337248,14.844254284331392
6,600024,rcp26,AA_med,-26.258937390856968,25.174356838652226
6,600024,rcp26,AAA_end,-55.83304020000308,56.50497283276145
6,600024,rcp85,AA_med,-25.141190594385595,20.49541864822481
6,600024,rcp85,AAA_end,-81.59615611175946,48.55850112272599
6,600030,rcp26,AA_med,-22.306985002606254,15.195989721051644
6,600030,rcp26,AAA_end,-50.6171752311963,49.76792975855604
6,600030,rcp85,AA_med,-23.58058122403693,16.85892685195271
6,600030,rcp85,AAA_end,-42.99432168676152,44.92172556540693
6,600066,rcp26,AA_med,-14.04494169197738,19.825117617053177
6,600066,rcp26,AAA_end,-41.14528222171448,54.59341987869616
6,600066,rcp85,AA_med,-11.398201671360416,22.017161261124414
6,600066,rcp85,AAA_end,-33.38056841606454,53.97613558429061
6,600069,rcp26,AA_med,-23.251672705041226,19.68216715233977
6,600069,rcp26,AAA_end,-53.18023490033862,57.099675747873775
6,600069,rcp85,AA_med,-23.23242516606059,17.69686459787297
6,600069,rcp85,AAA_end,-78.89536942913738,47.567161562539034
6,600118,rcp26,AA_med,-21.95548862400903,22.010715709873917
6,600118,rcp26,AAA_end,-52.93396668693968,55.08815895397672
6,600118,rcp85,AA_med,-17.943004117316,15.680182069227058
6,600118,rcp85,AAA_end,-64.58242938060216,46.430207269828465
6,600525,rcp26,AA_med,-13.073220473246089,20.166364693500682
6,600525,rcp26,AAA_end,-46.140466605311616,54.877205415492696
6,600525,rcp85,AA_med,-14.842035891319183,20.08771621635723
6,600525,rcp85,AAA_end,-56.43037039734545,58.31128339297982
6,601278,rcp26,AA_med,20,44.721359549995796
6,601278,rcp26,AAA_end,0,0
6,601278,rcp85,AA_med,20,44.721359549995796
6,601278,rcp85,AAA_end,40,54.772255750516614
6,601342,rcp26,AA_med,-12.356929192793844,13.853485475141365
6,601342,rcp26,AAA_end,-48.07060099293269,51.487649830337624
6,601342,rcp85,AA_med,-13.112536135766659,15.017777415516663
6,601342,rcp85,AAA_end,-62.865230088520235,58.576999659017794
6,601381,rcp26,AA_med,-17.589307604671596,12.50734620886308
6,601381,rcp26,AAA_end,-46.37781555811781,55.740028724238435
6,601381,rcp85,AA_med,-18.447908763727213,14.043155704035499
6,601381,rcp85,AAA_end,-59.630002154411635,58.91944336017339
7,600024,rcp26,AA_med,-34.298350774626684,30.237841637048284
7,600024,rcp26,AAA_end,-62.452746228806106,58.30297000413966
7,600024,rcp85,AA_med,-28.265877862355747,18.729738776062593
7,600024,rcp85,AAA_end,-96.8685508307039,32.943645039541686
7,600030,rcp26,AA_med,-5.1374252179747275,17.14274207001146
7,600030,rcp26,AAA_end,-27.928341223092414,41.94319013039739
7,600030,rcp85,AA_med,-5.513793494807736,15.098276334902021
7,600030,rcp85,AAA_end,-15.868258172603266,52.11545294994057
7,600066,rcp26,AA_med,-8.741923799655538,22.18242336312973
7,600066,rcp26,AAA_end,-34.18811643139048,44.26562639803814
7,600066,rcp85,AA_med,-9.179306062740588,27.586192036007848
7,600066,rcp85,AAA_end,-28.480726144466626,63.249656134451484
7,600069,rcp26,AA_med,-50.42672966266337,23.615875310398525
7,600069,rcp26,AAA_end,-82.08278966607423,53.3315746510369
7,600069,rcp85,AA_med,-45.796253419818264,21.387986146594255
7,600069,rcp85,AAA_end,-134.07347116971252,38.33682586004491
7,600118,rcp26,AA_med,-19.376175780113382,24.19025085793772
7,600118,rcp26,AAA_end,-47.39401992104191,56.80711246555988
7,600118,rcp85,AA_med,-16.045011078544057,18.11260547774518
7,600118,rcp85,AAA_end,-56.80731884057687,42.239936580816874
7,600525,rcp26,AA_med,-10.303148418634139,25.389162562462943
7,600525,rcp26,AAA_end,-39.76273070206599,52.43865135345536
7,600525,rcp85,AA_med,-8.869208754628986,28.489941289665605
7,600525,rcp85,AAA_end,-47.8444631279504,54.98713724039962
7,601278,rcp26,AA_med,100,0
7,601278,rcp26,AAA_end,60,54.772255750516614
7,601278,rcp85,AA_med,80,44.721359549995796
7,601278,rcp85,AAA_end,60,54.772255750516614
7,601342,rcp26,AA_med,-17.45330106934445,15.706240961581258
7,601342,rcp26,AAA_end,-50.52606092276164,53.21173011509843
7,601342,rcp85,AA_med,-17.933497123252604,19.143473836038243
7,601342,rcp85,AAA_end,-76.97533597806958,49.27315175399394
7,601381,rcp26,AA_med,-20.529614659291273,17.719551327613658
7,601381,rcp26,AAA_end,-52.82047179707987,57.02333124485245
7,601381,rcp85,AA_med,-22.040401656259842,20.701610719313464
7,601381,rcp85,AAA_end,-82.83953744339347,52.781789302001
8,600024,rcp26,AA_med,-42.99341545590232,33.55593874906078
8,600024,rcp26,AAA_end,-64.18511941024971,43.67645138872132
8,600024,rcp85,AA_med,-34.284880598559575,16.922930068964522
8,600024,rcp85,AAA_end,-101.93446598756941,12.880478561197084
8,600030,rcp26,AA_med,-1.0782671931772272,14.660926375692714
8,600030,rcp26,AAA_end,-10.167898989892764,19.117765937576564
8,600030,rcp85,AA_med,2.1162743481586204,12.564391393389046
8,600030,rcp85,AAA_end,3.0545966143409156,24.980314163653972
8,600066,rcp26,AA_med,-5.254601468155365,29.182882955805795
8,600066,rcp26,AAA_end,-23.69163799911932,31.342974948175325
8,600066,rcp85,AA_med,-5.86512936971548,36.16943861657967
8,600066,rcp85,AAA_end,-22.80617513580564,40.248390649758115
8,600069,rcp26,AA_med,-164.4933989085216,18.914199289352872
8,600069,rcp26,AAA_end,-190.93397656310722,9.298355428142395
8,600069,rcp85,AA_med,-176.19515197790517,24.533399310371262
8,600069,rcp85,AAA_end,-197.25298021106056,4.582151203059773
8,600118,rcp26,AA_med,-20.79723787849479,29.380495264255785
8,600118,rcp26,AAA_end,-42.27121938570958,40.41679566635418
8,600118,rcp85,AA_med,-15.548415064028955,18.785068493946213
8,600118,rcp85,AAA_end,-66.56291518262599,29.71635796235397
8,600525,rcp26,AA_med,-5.197165597053891,25.150691789014104
8,600525,rcp26,AAA_end,-26.621490157599105,27.791438843658586
8,600525,rcp85,AA_med,-4.260681707593658,27.223406185591788
8,600525,rcp85,AAA_end,-35.00932802827988,30.003024175286274
8,601278,rcp26,AA_med,48.56014393633333,28.17185006793461
8,601278,rcp26,AAA_end,38.32573028274046,22.18119265646608
8,601278,rcp85,AA_med,50.52754887876397,38.43133998610319
8,601278,rcp85,AAA_end,111.4522240704504,48.0740476375134
8,601342,rcp26,AA_med,-9.588127717901388,12.63371929496925
